"","Cell.lines","cluster","MES","PN","CL.A","NL","CL.C","PN.L","CL.B","maxProb"
"ACH-000017","ACH-000017","CL-B",0.005,0.19,0.039,0.027,0.008,0.005,0.724,0.724
"ACH-000019","ACH-000019","CL-B",0.002,0.15,0.006,0.01,0.03,0.033,0.768,0.768
"ACH-000028","ACH-000028","CL-B",0.001,0.073,0.006,0.009,0.045,0.007,0.859,0.859
"ACH-000044","ACH-000044","CL-C",0.001,0.022,0.014,0.009,0.604,0.04,0.31,0.604
"ACH-000097","ACH-000097","PN",0.01,0.407,0.049,0.079,0.094,0.085,0.276,0.407
"ACH-000111","ACH-000111","CL-C",0.021,0.005,0.164,0.004,0.707,0.087,0.011,0.707
"ACH-000117","ACH-000117","CL-C",0.001,0.088,0.027,0.067,0.447,0.026,0.344,0.447
"ACH-000147","ACH-000147","CL-B",0.003,0.03,0.015,0.047,0.164,0.054,0.687,0.687
"ACH-000148","ACH-000148","MES",0.9,0,0.098,0,0,0.002,0,0.9
"ACH-000196","ACH-000196","PN",0,0.98,0.003,0.001,0.007,0.003,0.005,0.98
"ACH-000212","ACH-000212","MES",0.572,0.102,0.26,0.005,0.02,0.013,0.028,0.572
"ACH-000223","ACH-000223","CL-B",0.033,0.068,0.036,0.062,0.355,0.007,0.44,0.44
"ACH-000248","ACH-000248","CL-B",0.003,0.206,0.027,0.029,0.007,0.004,0.723,0.723
"ACH-000258","ACH-000258","PN",0.002,0.75,0.014,0.025,0.084,0.006,0.119,0.75
"ACH-000276","ACH-000276","CL-A",0.166,0.032,0.425,0.012,0.263,0.053,0.049,0.425
"ACH-000277","ACH-000277","CL-C",0.005,0.051,0.025,0.019,0.582,0.052,0.266,0.582
"ACH-000288","ACH-000288","CL-A",0.37,0.022,0.6,0,0.002,0.006,0.001,0.6
"ACH-000330","ACH-000330","CL-B",0,0.037,0.012,0.002,0.045,0.006,0.898,0.898
"ACH-000349","ACH-000349","CL-C",0.006,0.04,0.072,0.008,0.74,0.048,0.087,0.74
"ACH-000352","ACH-000352","PN",0.001,0.568,0.008,0.006,0.034,0.015,0.367,0.568
"ACH-000374","ACH-000374","PN",0.059,0.28,0.244,0.014,0.267,0.025,0.11,0.28
"ACH-000536","ACH-000536","PN",0.045,0.51,0.036,0.041,0.121,0.014,0.232,0.51
"ACH-000554","ACH-000554","CL-B",0.004,0.253,0.007,0.031,0.027,0.016,0.664,0.664
"ACH-000568","ACH-000568","CL-B",0.012,0.014,0.014,0.116,0.21,0.126,0.508,0.508
"ACH-000573","ACH-000573","MES",0.815,0.098,0.039,0.003,0.022,0.012,0.011,0.815
"ACH-000621","ACH-000621","MES",0.473,0.007,0.382,0.002,0.062,0.065,0.009,0.473
"ACH-000624","ACH-000624","CL-C",0.131,0.085,0.03,0.155,0.28,0.109,0.21,0.28
"ACH-000642","ACH-000642","MES",0.894,0.002,0.005,0.01,0.074,0.006,0.008,0.894
"ACH-000643","ACH-000643","NL",0.348,0.003,0.006,0.354,0.194,0.06,0.035,0.354
"ACH-000668","ACH-000668","MES",0.475,0.055,0.17,0.031,0.136,0.031,0.101,0.475
"ACH-000691","ACH-000691","PN",0.003,0.616,0.053,0.018,0.128,0.097,0.085,0.616
"ACH-000699","ACH-000699","MES",0.533,0.046,0.316,0.004,0.012,0.065,0.023,0.533
"ACH-000711","ACH-000711","MES",0.31,0.143,0.038,0.139,0.097,0.026,0.247,0.31
"ACH-000721","ACH-000721","PN",0.007,0.963,0.01,0.001,0.011,0.005,0.003,0.963
"ACH-000725","ACH-000725","CL-B",0.006,0.041,0.011,0.034,0.091,0.023,0.795,0.795
"ACH-000755","ACH-000755","NL",0.012,0.127,0.019,0.388,0.026,0.063,0.365,0.388
"ACH-000759","ACH-000759","CL-B",0.004,0.002,0.002,0.112,0.132,0.014,0.734,0.734
"ACH-000768","ACH-000768","MES",0.743,0.011,0.24,0.001,0.002,0.001,0.002,0.743
"ACH-000783","ACH-000783","CL-B",0.001,0.08,0.015,0.012,0.324,0.016,0.553,0.553
"ACH-000818","ACH-000818","CL-B",0.002,0.002,0.003,0.027,0.382,0.134,0.45,0.45
"ACH-000828","ACH-000828","CL-B",0.012,0.039,0.018,0.056,0.198,0.112,0.564,0.564
"ACH-000849","ACH-000849","CL-B",0.138,0.152,0.086,0.045,0.261,0.013,0.306,0.306
"ACH-000856","ACH-000856","CL-C",0.009,0.041,0.114,0.001,0.775,0.016,0.045,0.775
"ACH-000857","ACH-000857","MES",0.986,0.001,0.001,0.006,0.002,0.001,0.004,0.986
"ACH-000859","ACH-000859","MES",0.456,0.111,0.063,0.048,0.134,0.02,0.167,0.456
"ACH-000876","ACH-000876","CL-C",0.05,0.004,0.013,0.102,0.667,0.033,0.13,0.667
"ACH-000902","ACH-000902","PN",0.004,0.62,0.024,0.024,0.162,0.046,0.12,0.62
"ACH-000910","ACH-000910","CL-B",0.003,0.265,0.089,0.005,0.018,0.006,0.614,0.614
"ACH-000927","ACH-000927","PN",0.008,0.481,0.088,0.015,0.134,0.053,0.221,0.481
"ACH-000930","ACH-000930","CL-C",0.063,0.085,0.156,0.015,0.31,0.101,0.27,0.31
"ACH-000934","ACH-000934","CL-B",0.016,0.053,0.032,0.007,0.023,0.009,0.861,0.861
"ACH-001388","ACH-001388","MES",0.903,0,0.001,0.041,0.03,0.018,0.007,0.903
"ACH-001389","ACH-001389","CL-A",0.225,0.02,0.75,0,0.003,0.001,0.001,0.75
"ACH-001390","ACH-001390","PN",0.121,0.46,0.173,0.019,0.032,0.015,0.18,0.46
"ACH-001391","ACH-001391","PN",0.119,0.46,0.376,0.003,0.02,0.011,0.011,0.46
"ACH-001392","ACH-001392","PN-L",0.07,0.013,0.021,0.167,0.21,0.407,0.111,0.407
"ACH-001393","ACH-001393","CL-C",0.033,0.001,0.003,0.083,0.84,0.029,0.01,0.84
"ACH-001394","ACH-001394","MES",0.958,0.002,0.003,0.006,0.024,0.004,0.002,0.958
"ACH-001395","ACH-001395","CL-C",0.05,0.008,0.008,0.185,0.408,0.3,0.042,0.408
"ACH-001396","ACH-001396","CL-C",0.016,0.045,0.02,0.114,0.371,0.088,0.345,0.371
"ACH-001419","ACH-001419","CL-B",0.004,0.355,0.013,0.009,0.006,0.009,0.605,0.605
"ACH-001662","ACH-001662","CL-C",0.019,0.006,0.008,0.128,0.688,0.032,0.119,0.688
"ACH-001683","ACH-001683","CL-C",0.011,0.019,0.017,0.021,0.813,0.071,0.048,0.813
"ACH-001705","ACH-001705","MES",0.845,0.053,0.006,0.019,0.002,0.002,0.072,0.845
"ACH-001819","ACH-001819","CL-C",0.026,0.065,0.037,0.046,0.748,0.033,0.045,0.748
"ACH-001820","ACH-001820","PN",0,0.91,0.036,0,0.052,0.001,0.001,0.91
"ACH-002399","ACH-002399","MES",0.988,0,0.001,0.001,0.008,0.001,0.001,0.988
"ACH-002401","ACH-002401","MES",0.989,0,0,0.004,0.004,0.002,0.001,0.989
"ACH-002499","ACH-002499","CL-A",0.102,0.006,0.595,0.015,0.206,0.023,0.054,0.595
"ACH-002921","ACH-002921","CL-C",0.005,0.001,0.003,0.011,0.818,0.089,0.073,0.818
